Date,Store,StoreType,Sales,Customers,Promo,Holiday,DayOfWeek,CompetitionDistance
2023-09-15,S03,A,153.89,8,0,0,4,785.8
2023-06-06,S02,A,253.16,10,0,0,1,790.2
2023-10-08,S06,A,121.96,5,0,0,6,1088.5
2024-09-01,S09,C,125.07,6,0,0,6,979.2
2023-10-23,S08,A,99.0,5,0,0,0,1024.6
2023-08-30,S04,C,330.25,18,1,0,2,700.9
2023-09-23,S05,B,354.72,20,1,0,5,766.0
2023-06-01,S02,A,317.63,18,0,0,3,736.5
2024-01-26,S06,A,122.78,7,0,0,4,498.6
2023-07-09,S08,A,194.27,13,1,0,6,476.1
2023-06-28,S07,A,102.21,5,0,0,2,457.9
2024-05-24,S05,B,229.01,16,0,0,4,1202.2
2024-04-04,S06,A,73.35,4,0,0,3,1329.5
2023-12-21,S01,C,331.13,14,0,0,3,873.7
2024-03-13,S04,C,235.41,15,0,0,2,1144.9
2024-10-27,S01,C,325.64,17,0,0,6,614.7
2023-09-04,S06,A,131.26,6,0,0,0,449.3
2024-11-21,S08,A,189.0,11,0,0,3,458.6
2023-11-12,S01,C,374.8,22,0,0,6,947.9
2023-01-14,S03,A,188.93,9,0,0,5,486.1
2023-08-09,S07,A,112.34,13,0,0,2,568.4
2024-11-13,S10,A,294.19,14,1,0,2,788.4
2023-03-29,S08,A,132.81,6,0,0,2,1139.0
2023-06-06,S07,A,90.91,6,0,0,1,1037.9
2024-06-23,S05,B,195.39,8,0,0,6,1292.0
2023-01-31,S09,C,99.04,5,0,0,1,1358.5
2023-06-04,S04,C,191.82,11,0,0,6,1127.6
2024-03-01,S04,C,268.38,10,0,0,4,919.3
2023-05-12,S06,A,110.2,4,0,0,4,1274.0
2023-04-29,S09,C,177.5,8,1,0,5,1287.5
2024-07-07,S08,A,133.54,6,0,0,6,894.3
2023-05-21,S08,A,146.19,5,0,0,6,1253.4
2024-12-05,S09,C,131.23,6,0,0,3,1254.3
2023-09-23,S02,A,443.73,14,0,0,5,583.1
2024-11-17,S01,C,311.78,18,0,0,6,957.1
2023-06-15,S03,A,166.69,8,1,0,3,941.3
2024-12-31,S03,A,171.1,7,0,0,1,1341.0
2024-04-08,S01,C,262.09,13,0,0,0,1211.8
2024-09-08,S03,A,183.13,9,0,0,6,396.6
2023-06-29,S01,C,212.04,14,0,0,3,627.3
2024-08-06,S10,A,194.75,9,0,0,1,1209.0
2023-08-07,S04,C,213.99,8,0,0,0,1174.5
2023-03-15,S04,C,275.89,14,0,0,2,1146.4
2023-10-30,S04,C,236.4,13,0,0,0,1217.4
2023-01-26,S02,A,260.56,7,0,0,3,1316.1
2024-06-30,S06,A,92.95,3,0,0,6,903.5
2023-12-26,S04,C,236.33,19,0,0,1,1022.5
2023-01-07,S02,A,339.03,14,0,0,5,1144.7
2023-07-12,S07,A,131.13,9,1,0,2,1008.8
2024-03-07,S01,C,245.76,9,0,0,3,784.2
2023-05-22,S01,C,305.52,18,0,0,0,528.7
2024-05-13,S10,A,159.81,6,0,0,0,1809.4
2024-07-14,S06,A,106.5,3,0,0,6,864.4
2023-07-28,S09,C,121.49,5,0,0,4,819.9
2024-06-21,S08,A,110.49,11,0,0,4,652.4
2023-05-10,S06,A,77.75,4,0,0,2,1160.9
2024-06-17,S02,A,260.73,11,0,0,0,892.1
2024-07-13,S02,A,501.57,24,1,0,5,558.9
